synset,pos,name,src
00563494-n,n,basketball_play,eng30
10942279-n,n,downing,eng30
11230158-n,n,commodore_perry,eng30
09638875-n,n,white,eng30
04960729-n,n,white,eng30
11384291-n,n,white,eng30
11384159-n,n,white,eng30
11384022-n,n,white,eng30
11383917-n,n,white,eng30
11383767-n,n,white,eng30
11383546-n,n,white,eng30
09478355-n,n,white,eng30
07841037-n,n,white,eng30
04579986-n,n,white,eng30
03357081-n,n,white,eng30
12387201-n,n,violaceae,eng30
06141962-n,n,group_dynamics,eng30
02791894-n,n,veronal,eng30
13146583-n,n,sauvignon_grape,eng30
04064747-n,n,record_cover,eng30
02183857-n,n,sucking_louse,eng30
12556793-n,n,common_bean,eng30
07726796-n,n,common_bean,eng30
06109972-n,n,mendelism,eng30
10840769-n,n,st._beda,eng30
06498569-n,n,hebrew_alphabet,eng30
02004661-n,n,mycteria,eng30
09167505-n,n,harare,eng30
08539072-n,n,business_district,eng30
04804306-n,n,fidelity,eng30
04876985-n,n,fidelity,eng30
12423565-n,n,liliaceae,eng30
05869407-n,n,leavening,eng30
14934031-n,n,leavening,eng30
03673594-n,n,embrocation,eng30
00516559-n,n,nemean_games,eng30
14500567-n,n,"mare's_nest",eng30
00736219-n,n,juvenile_delinquency,eng30
11890150-n,n,isatis_tinctoria,eng30
01749244-n,n,hemachatus_haemachatus,eng30
00370688-n,n,braxton-hicks_contraction,eng30
10839791-n,n,beaverbrook,eng30
07988716-n,n,tweedledum_and_tweedledee,eng30
07293391-n,n,square_deal,eng30
11057679-n,n,honegger,eng30
14602597-n,n,argil,eng30
12415272-n,n,southern_blue_flag,eng30
12651611-n,n,pear_tree,eng30
13770416-n,n,dessertspoon,eng30
10670668-n,n,endorser,eng30
10057271-n,n,endorser,eng30
03891664-n,n,chair_car,eng30
12386039-n,n,tamaricaceae,eng30
14855512-n,n,wormcast,eng30
09480959-n,n,wormcast,eng30
09609561-n,n,captor,eng30
06583645-n,n,input_routine,eng30
02201497-n,n,anopheline,eng30
02104029-n,n,kuvasz,eng30
08796351-n,n,sion,eng30
08792548-n,n,sion,eng30
05632056-n,n,sion,eng30
01965747-n,n,pectinidae,eng30
05602548-n,n,brow,eng30
05313535-n,n,brow,eng30
08584787-n,n,brow,eng30
03131574-n,n,crib,eng30
06347225-n,n,crib,eng30
