synset,resource,xref,misc,confidence
00110701-a,sumo,Device,"⊂",
00110853-a,sumo,Proposition,"⊂",
00111129-a,sumo,Proposition,"⊂",
00111415-a,sumo,Language,"⊂",
00111856-a,sumo,Language,"⊂",
00112231-a,sumo,IntentionalPsychologicalProcess,"⊂",
00112628-a,sumo,IntentionalPsychologicalProcess,"⊂",
00113015-a,sumo,LinguisticExpression,"⊂",
00113245-a,sumo,LinguisticExpression,"⊂",
00113476-a,sumo,Plant,"⊂",
00113663-a,sumo,Plant,"⊂",
00113818-a,sumo,Anger,=,
00116463-a,sumo,EmotionalState,"⊂",
00116529-a,sumo,Unhappiness,"⊂",
00117106-a,sumo,EmotionalState,"⊂",
00117385-a,sumo,SentientAgent,"⊂",
00117754-a,sumo,SentientAgent,"≠",
00118066-a,sumo,Animal,=,
00118238-a,sumo,Dead,"⊂",
00118567-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00119409-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00119875-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00120132-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00120252-a,sumo,Noun,"⊂",
00120411-a,sumo,Noun,"⊂",
00120574-a,sumo,ContentBearingObject,"⊂",
00121034-a,sumo,ContentBearingObject,"⊂",
00121552-a,sumo,earlier,"⊂",
00121649-a,sumo,earlier,"⊂",
00121865-a,sumo,earlier,"⊂",
00122626-a,sumo,earlier,"⊂",
00123653-a,sumo,BiologicalAttribute,"⊂",
00123804-a,sumo,BiologicalAttribute,"⊂",
00124077-a,sumo,located,"⊂",
00124918-a,sumo,located,"⊂",
00125319-a,sumo,Government,"⊂",
00125711-a,sumo,earlier,"⊂",
00127296-a,sumo,earlier,"⊂",
00128467-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00128572-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00128882-a,sumo,BodyPart,"⊂",
00129029-a,sumo,BodyPart,"⊂",
00129103-a,sumo,TimeInterval,"⊂",
00129276-a,sumo,TimeInterval,"⊂",
00129467-a,sumo,Birth,"⊂",
